scenario_id,configuration,violation_type,source,difficulty,expansion_mode,exec,trig,rem,c_road,c_env,c_role,c_lane,c_action,c_auto,c_noctrl,c_context,ms
NHTSA_SPD_0082,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0026,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0320,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0101,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,0,0,0,0,0,0,1,1,1,0.26
NHTSA_SPD_0240,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,0,0,0,0,0,0,1,1,1,0.26
NHTSA_SPD_0123,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,0,0,1,,,,,,,,,
NHTSA_SPD_0066,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0230,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0335,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0207,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,0,0,1,,,,,,,,,
NHTSA_SPD_0084,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0015,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0184,Full RKGRScen,Speeding,NHTSA-derived,coarse,fallback,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0071,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0348,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_SPD_0067,Full RKGRScen,Speeding,synthetic-topology-extension,fine,normal,0,0,1,,,,,,,,,
NHTSA_SPD_0341,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0336,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0118,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0064,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0051,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0001,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,0,0,0,0,0,0,1,1,1,0.26
NHTSA_SPD_0076,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_SPD_0035,Full RKGRScen,Speeding,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FSD_0119,Full RKGRScen,Failure to maintain safe following distance,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FSD_0042,Full RKGRScen,Failure to maintain safe following distance,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_FSD_0152,Full RKGRScen,Failure to maintain safe following distance,NHTSA-derived,coarse,normal,1,1,0,1,0,0,0,0,1,1,1,0.44
SYNTH_FSD_0086,Full RKGRScen,Failure to maintain safe following distance,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FSD_0217,Full RKGRScen,Failure to maintain safe following distance,NHTSA-derived,coarse,normal,0,0,1,,,,,,,,,
NHTSA_FSD_0099,Full RKGRScen,Failure to maintain safe following distance,NHTSA-derived,coarse,normal,0,0,1,,,,,,,,,
NHTSA_FSD_0100,Full RKGRScen,Failure to maintain safe following distance,NHTSA-derived,coarse,normal,1,1,0,0,0,0,0,0,1,1,1,0.26
NHTSA_FSD_0127,Full RKGRScen,Failure to maintain safe following distance,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_FSD_0073,Full RKGRScen,Failure to maintain safe following distance,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
